#AUTHOR: CJW, S. Bekeraite
#SOURCE: SDSS DR7 images and own analysis
#DATE: 2014-09-09
#VERSION: 1.0
#COLAPRV: CJW 
#PUBAPRV: none
#COLUMN1: CALIFAID, int, , the ID of the CALIFA galaxy
#COLUMN2: pa_align, float, deg, position angle from light moments wrt North
#COLUMN3: ba, float, , axis ratio from light moments analysis
#COLUMN4: r_sky, float, counts, sky value in r band from growth curve analysis
#COLUMN5: u, float, mag, u band magnitude from growth curve analysis
#COLUMN6: u_err, float, mag, u band uncertainty
#COLUMN7: g, float, mag, g band magnitude from growth curve analysis
#COLUMN8: g_err, float, mag, g band uncertainty
#COLUMN9: r, float, mag, r band magnitude from growth curve analysis
#COLUMN10: r_err, float, mag, r band uncertainty
#COLUMN11: i, float, mag, i band magnitude from growth curve analysis
#COLUMN12: i_err, float, mag, i band uncertainty
#COLUMN13: z, float, mag, z band magnitude from growth curve analysis
#COLUMN14: z_err, float, mag, z band uncertainty
#COLUMN15: el_hlr, float, arcsec, half-light radius in r band elliptical aperture 
#COLUMN16: r_circ, float, mag, r band magnitude from growth curve analysis in a circular aperture
#COLUMN17: flags, int, , quality flags checksum 
24,  190.46717,    0.36971,  148.12132,   15.11398,    0.05000,   13.72989,    0.05000,   13.02929,    0.05000,   12.67216,    0.05000,   11.43500,    0.05000,   13.86000,   13.04415, 0
25,  159.20393,    0.64350,  133.50709,   14.13417,    0.05000,   12.84264,    0.05000,   12.23012,    0.05000,   11.78024,    0.05000,   11.50476,    0.05000,   28.51200,   12.28624, 4
26,   73.65891,    0.30736,  116.91578,   14.54929,    0.02000,   13.07894,    0.02000,   12.27315,    0.02000,   11.86401,    0.02000,   11.55716,    0.02000,   22.17600,   12.31490, 0
27,  205.13582,    0.26660,  138.04876,   14.15790,    0.02000,   13.16708,    0.02000,   12.73120,    0.02000,   12.50578,    0.02000,   12.34914,    0.02000,   20.59200,   12.75019, 0
28,   61.55579,    0.66257,  102.56475,   13.89415,    0.02000,   12.58935,    0.02000,   11.95389,    0.02000,   11.60729,    0.02000,   11.37926,    0.02000,   18.21600,   11.95535, 4
29,  110.46167,    0.26900,  173.90912,   14.56987,    0.03000,   12.77655,    0.03000,   11.94106,    0.03000,   11.47849,    0.03000,   11.20638,    0.03000,   23.36400,   11.99856, 0
30,  143.53578,    0.57413,  165.36151,   14.44314,    0.02000,   13.24814,    0.02000,   12.72659,    0.02000,   12.43686,    0.02000,   12.20377,    0.02000,   15.44400,   12.77518, 0
31,   74.71886,    0.85093,  173.21427,   14.23316,    0.05000,   12.94049,    0.05000,   12.30876,    0.05000,   11.91963,    0.05000,   11.71593,    0.05000,   20.19600,   12.31720, 0
32,   23.88290,    0.32796,  183.73245,   15.50468,    0.05000,   13.82666,    0.05000,   13.28590,    0.05000,   12.85413,    0.05000,   12.55861,    0.05000,   12.27600,   13.29198, 0
33,   92.15151,    0.57607,  108.51690,   14.32800,    0.02000,   12.98716,    0.02000,   12.32640,    0.02000,   11.97155,    0.02000,   11.79094,    0.02000,   21.78000,   12.40109, 0
