califaID,hubtyp,subtyp,inclination,pa,sigma_V_gme,radio_bulbo_g,radio_bulbo_i
311, S, ab,21.42602261305374,140.91008,141.1,5.9188,6.11719
684, S, b,28.114212751102368,67.76919,136.22,1.57806,1.61973
740, S, a,18.30282407256272,166.02575,168.71,,
813, S, bc,19.419423463641685,73.05311,84.7,0.85571,1.0812
872, S, ab,28.467215237365863,93.92429,96.74,2.58894,2.51247
915, S, b,28.13973549514425,162.85196,113.38,5.07728,4.64922

